case_count,clinical_finding,date,state,positive,negative,pending,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,dataqualitygrade,lastupdateet,hash,datechecked,death,hospitalized,total,totaltestresults,posneg,fips,hospitalizedincrease,negativeincrease,totaltestresultsincrease
43,positiveincrease,2020-05-20,OK,5532,138839,,209,905,92,,,,4266,A+,2020-05-20 00:00:00,4857c838770da31518dbb551e1f6a31e13b4ff06,2020-05-20 20:00:00,299,905,144371,144371,144371,40,8,5181,5224
75,positiveincrease,2020-05-20,OR,3801,98348,,152,723,42,,17,,1406,A+,2020-05-20 11:00:00,58fa223ca9b5c41b430e41eef5e3542bc4f9d4fb,2020-05-20 20:00:00,144,723,102149,102149,102149,41,9,2354,2429
0,positiveincrease,2020-05-20,PA,63666,286034,,1818,,,,377,,,B,2020-05-19 00:00:00,1de580fd8a6da3353e1d1866ead2e9f6f3ea15d5,2020-05-20 20:00:00,4624,,349700,349700,349700,42,0,0,0
61,positiveincrease,2020-05-20,PR,2866,,,,,20,,5,,,C,2020-05-20 06:30:00,2b90fda9806c71e1d4e7b9ec74535b0cff050187,2020-05-20 20:00:00,125,,2866,2866,2866,72,0,0,61
405,positiveincrease,2020-05-20,RI,13356,107172,,257,1486,58,,45,,1030,A+,2020-05-20 12:00:00,6439d6ba25e9e0cbb3dc3dc8a40c65376ec15416,2020-05-20 20:00:00,538,1486,120528,120528,120528,44,22,2877,3282
0,positiveincrease,2020-05-20,SC,9056,126007,,,1444,,,,,5451,A+,2020-05-19 16:00:00,4841aeea3388848e2b0cc7d34e71e216705b6bac,2020-05-20 20:00:00,399,1444,135063,135063,135063,45,0,0,0
92,positiveincrease,2020-05-20,SD,4177,26212,,81,333,,,,,3023,C,2020-05-19 18:00:00,b9123eda67bb5f394fdedfec7dbb22455ec8ca35,2020-05-20 20:00:00,46,333,30389,30389,30389,46,6,588,680
154,positiveincrease,2020-05-20,TN,18532,335481,,,1515,,,,,11783,B,2020-05-20 15:00:00,535b55c09bfa37309c56d0f1fdaa8962190742a3,2020-05-20 20:00:00,309,1515,354013,354013,354013,47,17,7736,7890
1411,positiveincrease,2020-05-20,TX,51323,718918,,1791,,,,,,30341,B,2020-05-19 16:50:00,084a9b09c578cd308822376d4a65b4cd32b5cdc3,2020-05-20 20:00:00,1419,,770241,770241,770241,48,0,23893,25304
326,positiveincrease,2020-05-20,UT,7710,171954,,144,631,,200,,87,4423,B,2020-05-20 10:15:00,4f48b4dd9dbe40e357c32d4261a90c4acc96da90,2020-05-20 20:00:00,90,631,179664,179664,179664,49,36,5316,5642
763,positiveincrease,2020-05-20,VA,32908,179718,518,1536,6059,370,,202,,4523,A+,2020-05-19 17:00:00,623fba5248459f3e195740bc92de6bb2c9f50d71,2020-05-20 20:00:00,1074,6059,213144,212626,212626,51,291,9074,9837
0,positiveincrease,2020-05-20,VI,69,1314,26,,,,,,,61,C,2020-05-20 07:09:00,78bf900590db3972c95202b282811d356b3a3da3,2020-05-20 20:00:00,6,,1409,1383,1383,78,0,16,16
0,positiveincrease,2020-05-20,VT,944,24114,,15,,,,,,824,B,2020-05-20 00:00:00,8890a2114f65acc0fcf736b0bb25e53c8c321cd2,2020-05-20 20:00:00,54,,25058,25058,25058,50,0,467,467
200,positiveincrease,2020-05-20,WA,18811,274309,,168,,52,,,,,B,2020-05-19 02:59:00,ccf1756ae5fac5b922fd476ba3b79458c076fab0,2020-05-20 20:00:00,1031,,293120,293120,293120,53,0,3785,3985
528,positiveincrease,2020-05-20,WI,13413,154300,211,609,2161,129,515,,,7728,A+,2020-05-20 00:00:00,f40d43177d7454c3db8819cf8793f45efb4938de,2020-05-20 20:00:00,481,2161,167924,167713,167713,55,51,6063,6591
36,positiveincrease,2020-05-20,WV,1545,79096,,58,,16,,9,,950,B,2020-05-20 10:00:00,99c810aa6e8572f1b532c8248b73e3f55b6e080e,2020-05-20 20:00:00,69,,80641,80641,80641,54,0,2304,2340
21,positiveincrease,2020-05-20,WY,787,18053,,9,74,,,,,528,C,2020-05-20 16:15:00,11ca928b33afd498211d12ff699ac8a9fff6b55b,2020-05-20 20:00:00,11,74,18840,18840,18840,56,1,969,990
0,positiveincrease,2020-05-19,AK,399,35981,,16,,,,,,348,B,2020-05-19 00:00:00,a6e64be0dcdb35ea2f5116f626fb9e26da9d98ba,2020-05-19 20:00:00,10,,36380,36380,36380,2,0,769,769
290,positiveincrease,2020-05-19,AL,12376,145190,,,1453,,517,,306,,B,2020-05-18 00:00:00,da768efac6b967b10afef712b89563d433bfa593,2020-05-19 20:00:00,504,1453,157566,157566,157566,1,37,153,443
110,positiveincrease,2020-05-19,AR,4923,88778,,78,535,,,14,101,3739,A,2020-05-19 00:00:00,31b7e799d1d456ef327a06e12e0866aabb9dbad3,2020-05-19 20:00:00,102,535,93701,93701,93701,5,5,8352,8462
0,positiveincrease,2020-05-19,AS,0,124,,,,,,,,,C,2020-05-19 00:00:00,a6faa2e1ef283fcc8a86234ee19662c95c93290f,2020-05-19 20:00:00,0,,124,124,124,60,0,19,19
396,positiveincrease,2020-05-19,AZ,14566,147005,,792,1746,318,,201,,3693,A+,2020-05-19 00:00:00,93c83b05b7ed3f501b76fc8061f3ada8638d5a69,2020-05-19 20:00:00,704,1746,161571,161571,161571,4,29,4702,5098
1365,positiveincrease,2020-05-19,CA,81795,1257521,,4363,,1307,,,,,B,2020-05-19 00:00:00,ad1044e4a2c384424aa492acbe2154e655566e10,2020-05-19 20:00:00,3334,,1339316,1339316,1339316,6,0,45279,46644
264,positiveincrease,2020-05-19,CO,22202,109131,,626,3899,,,,,3431,A,2020-05-17 00:00:00,e4a425151a1d0a17152bd23664a733f14b192e08,2020-05-19 20:00:00,1224,3899,131333,131333,131333,8,27,2574,2838
314,positiveincrease,2020-05-19,CT,38430,147090,,914,10946,,,,,6264,B,2020-05-18 19:00:00,cc8f6030f80826a8035e5c71331e9d8073a4d3e2,2020-05-19 20:00:00,3472,10946,185520,185520,185520,9,0,7527,7841
164,positiveincrease,2020-05-19,DC,7434,31940,,375,,,,77,,1040,A,2020-05-18 00:00:00,92ad144f7eb2a87c86c646fddf34f3e3b0fbdbbf,2020-05-19 20:00:00,400,,39374,39374,39374,11,0,1385,1549
168,positiveincrease,2020-05-19,DE,8037,36095,,236,,,,,,3760,B,2020-05-18 18:00:00,d80439e262f073e18134dfdb41751616dfd17a91,2020-05-19 20:00:00,304,,44132,44132,44132,10,0,1506,1674
502,positiveincrease,2020-05-19,FL,46944,668911,1369,472,8744,232,,,,,A+,2020-05-19 10:31:00,1826220a864220a6e25b5be129044e26767d4af8,2020-05-19 20:00:00,2129,8744,717224,715855,715855,12,191,38941,39443
640,positiveincrease,2020-05-19,GA,38721,339435,,986,7027,,1589,,,,A+,2020-05-19 13:00:00,00a226427f82aa9b1106e15d895458702a0fec3d,2020-05-19 20:00:00,1664,7027,378156,378156,378156,13,111,13227,13867
0,positiveincrease,2020-05-19,GU,154,4673,,,,,,,,126,C,2020-05-19 05:45:00,939267589e5b9bb57a94e5d4093f3f660d1f843a,2020-05-19 20:00:00,5,,4827,4827,4827,66,0,104,104
0,positiveincrease,2020-05-19,HI,640,44383,,,82,,,,,574,B,2020-05-17 00:00:00,341ed35a11901a989e75cae80527fe67e9525119,2020-05-19 20:00:00,17,82,45023,45023,45023,15,0,2978,2978
394,positiveincrease,2020-05-19,IA,15349,92299,,383,,126,,83,,8130,A+,2020-05-19 00:00:00,b7d3b6bd3d0ec0b75537b7f0cc398d924cba1f20,2020-05-19 20:00:00,372,,107648,107648,107648,19,0,4106,4500
36,positiveincrease,2020-05-19,ID,2455,35614,,,213,,89,,,1649,B,2020-05-18 19:00:00,7777263fde8a08771a5af00f9767259958a11d48,2020-05-19 20:00:00,74,213,38069,38069,38069,16,0,1361,1397
1545,positiveincrease,2020-05-19,IL,98030,523654,,4002,,993,,576,,,A,2020-05-19 00:00:00,20ee8a98aea8075e3e622fb394656c33e93c21e0,2020-05-19 20:00:00,4379,,621684,621684,621684,17,0,16898,18443
450,positiveincrease,2020-05-19,IN,28705,160625,,1268,4389,421,990,206,,,A+,2020-05-18 23:59:00,2ac16300adaff2df6ad4bbe17d2643c4bb6f257f,2020-05-19 20:00:00,1824,4389,189330,189330,189330,18,0,4968,5418
0,positiveincrease,2020-05-19,KS,8340,58650,,,740,,250,,115,465,A,2020-05-18 10:00:00,a8cf4a1191996cbd2b935b592fed0541b97f242c,2020-05-19 20:00:00,173,740,66990,66990,66990,20,0,0,0
381,positiveincrease,2020-05-19,KY,8069,145917,,447,1980,277,866,,,2826,A+,2020-05-19 17:00:00,79e80ea07072d2a9ad366228cdcd2474ab231b5a,2020-05-19 20:00:00,366,1980,153986,153986,153986,21,84,23920,24301
329,positiveincrease,2020-05-19,LA,35038,243035,,1004,,,,112,,26249,B,2020-05-19 13:00:00,c648941afd18baa2fe5552138234362adaadd7e4,2020-05-19 20:00:00,2581,,278073,278073,278073,22,0,7996,8325
1915,positiveincrease,2020-05-19,MA,87925,389015,,2472,8766,672,,,,,A+,2020-05-19 10:00:00,fac9faee8e84a07de4fe7e5f336f3c7d5c7570ee,2020-05-19 20:00:00,5938,8766,476940,476940,476940,25,227,14199,16114
1784,positiveincrease,2020-05-19,MD,41546,167112,,1421,7199,537,,,,2868,,2020-05-19 10:00:00,3bcccf53d70b3c42480e80e8e01b2017a845e5f4,2020-05-19 20:00:00,2081,7199,208658,208658,208658,24,113,5368,7152
28,positiveincrease,2020-05-19,ME,1741,22092,,44,225,19,,11,,1088,B,2020-05-19 11:30:00,5490eaf2acab20db9c49b8f38af115e308c86540,2020-05-19 20:00:00,73,225,23833,23833,23833,23,2,0,28
435,positiveincrease,2020-05-19,MI,52350,370554,,1079,,486,,351,,28234,A+,2020-05-19 11:00:00,91eb15cd9c5c3b030bf6eceb304e1f07edcf9ac0,2020-05-19 20:00:00,5017,,422904,422904,422904,26,0,12291,12726
657,positiveincrease,2020-05-19,MN,17029,144806,,545,2221,229,750,,,11540,A+,2020-05-18 17:00:00,5a05e01d4f5cd85ba962df08829beb4bfb464206,2020-05-19 20:00:00,757,2221,161835,161835,161835,27,93,4572,5229
135,positiveincrease,2020-05-19,MO,11080,143030,,721,,,,103,,,B,2020-05-19 15:00:00,b65c4dd135699e9167a6222a15f990b7e62b83e6,2020-05-19 20:00:00,616,,154110,154110,154110,29,0,2637,2772
0,positiveincrease,2020-05-19,MP,21,3796,,,,,,,,13,D,2020-05-19 00:00:00,b6a3840e4b6f316ecabc721922d4aeffd5ce20df,2020-05-19 20:00:00,2,,3817,3817,3817,69,0,397,397
272,positiveincrease,2020-05-19,MS,11704,106056,,611,1840,153,,87,,7681,A,2020-05-18 19:00:00,b0ef85c7dbd6395f2f3b20a36ba7a9a19e78d385,2020-05-19 20:00:00,554,1840,117760,117760,117760,28,35,1721,1993
1,positiveincrease,2020-05-19,MT,471,28479,,5,65,,,,,437,B,2020-05-19 00:00:00,594a65cefc3118f5aaa66b60198a8c32892e5e5a,2020-05-19 20:00:00,16,65,28950,28950,28950,30,1,782,783
677,positiveincrease,2020-05-19,NC,19700,245308,,585,,,,,,11637,A,2020-05-19 14:00:00,a72347562abef512e54cbe7193193d3db0ecf1e9,2020-05-19 20:00:00,691,,265008,265008,265008,37,0,8576,9253
63,positiveincrease,2020-05-19,ND,1994,55737,,32,135,,,,,1269,C,2020-05-19 13:00:00,ef2518560bf19d40d014e7591ffd90126d437848,2020-05-19 20:00:00,45,135,57731,57731,57731,38,2,1107,1170
277,positiveincrease,2020-05-19,NE,10625,59359,,,,,,,,,C,2020-05-18 20:00:00,7beac64c4470d7aba2cb6330532e3e4613e5c9b6,2020-05-19 20:00:00,125,,69984,69984,69984,31,0,2206,2483
56,positiveincrease,2020-05-19,NH,3652,45822,874,109,368,,109,,,1269,B,2020-05-18 09:00:00,8c2b7fc889b12a4d87ad2183b3b6607932155e5b,2020-05-19 20:00:00,172,368,50348,49474,49474,33,9,4540,4596
974,positiveincrease,2020-05-19,NJ,149013,371169,,3481,,977,,789,,23657,A+,2020-05-19 13:00:00,3c01d496dd178d7a0d9b550d33b3fb3266aa39e2,2020-05-19 20:00:00,10586,,520182,520182,520182,34,0,13639,14613
158,positiveincrease,2020-05-19,NM,6096,131524,,213,886,,,,,1796,C,2020-05-18 18:05:00,01991644c041f5c342ee9f3c1d743be67b21a2bc,2020-05-19 20:00:00,270,886,137620,137620,137620,35,0,4209,4367
140,positiveincrease,2020-05-19,NV,7046,80509,,405,,106,,54,,334,B,2020-05-19 10:00:00,2486aaec39f0323aa2aabd4d973c75d91113bfba,2020-05-19 20:00:00,365,,87555,87555,87555,32,0,5583,5723
1474,positiveincrease,2020-05-19,NY,352845,1114894,,5818,76168,1836,,1481,,61886,A,2020-05-19 00:00:00,84401a74545d19541faeed8beb09060d06a2d16d,2020-05-19 20:00:00,22843,76168,1467739,1467739,1467739,36,298,26708,28182
498,positiveincrease,2020-05-19,OH,28952,248650,,913,5117,365,1357,234,,,B,2020-05-19 14:00:00,4d85dd0867c5c446dab6497062672bec2aedfaef,2020-05-19 20:00:00,1720,5117,277602,277602,277602,39,119,5255,5753
