"provided","standard"
"Glynn","Glynn"
"Laurens","Laurens"
"Peach","Peach"
"Rockdale","Rockdale"
"Owen","Owen"
"Tippecanoe","Tippecanoe"
"Dubuque","Dubuque"
"Muscatine","Muscatine"
"Sedgwick","Sedgwick"
"Christian","Christian"
"Daviess","Daviess"
"Henderson","Henderson"
"Scott","Scott"
"Assumption","Assumption"
"Calcasieu","Calcasieu"
"Iberia","Iberia"
"Iberville","Iberville"
"Lafayette","Lafayette"
"Plaquemines","Plaquemines"
"St. James","St. James"
"St. Landry","St. Landry"
"Webster","Webster"
"West Baton Rouge","West Baton Rouge"
"Calvert","Calvert"
"Wicomico","Wicomico"
"Hampshire","Hampshire"
"Eaton","Eaton"
"Genesee","Genesee"
"Midland","Midland"
"Mower","Mower"
"Holmes","Holmes"
"Jones","Jones"
"Walthall","Walthall"
"Wilkinson","Wilkinson"
"Winston","Winston"
"Yazoo","Yazoo"
"Broadwater","Broadwater"
"Flathead","Flathead"
"Roosevelt","Roosevelt"
"Nemaha","Nemaha"
"Elko","Elko"
"Cape May","Cape May"
"San Miguel","San Miguel"
"Schoharie","Schoharie"
"Custer","Custer"
"Grady","Grady"
"Logan","Logan"
"McClain","McClain"
"Lebanon","Lebanon"
"Westmoreland","Westmoreland"
"Abbeville","Abbeville"
"Dorchester","Dorchester"
"Saluda","Saluda"
"Dyer","Dyer"
"Cameron","Cameron"
"Crane","Crane"
"DeWitt","DeWitt"
"Van Zandt","Van Zandt"
"Clallam","Clallam"
"Monongalia","Monongalia"
"Tucker","Tucker"
"Bayfield","Bayfield"
"Calumet","Calumet"
"Eau Claire","Eau Claire"
"Ozaukee","Ozaukee"
"Sauk","Sauk"
"Walworth","Walworth"
"Cullman","Cullman"
"Lamar","Lamar"
"Lauderdale","Lauderdale"
"Amador","Amador"
"Imperial","Imperial"
"Broomfield","Broomfield"
"New London","New London"
"Dawson","Dawson"
"Heard","Heard"
"Miller","Miller"
"Muscogee","Muscogee"
"Oconee","Oconee"
"Pickens","Pickens"
"Randolph","Randolph"
"Spalding","Spalding"
"Terrell","Terrell"
"Tift","Tift"
"Turner","Turner"
"Worth","Worth"
"Bingham","Bingham"
"Canyon","Canyon"
"Kootenai","Kootenai"
"McLean","McLean"
"Allen","Allen"
"Vanderburgh","Vanderburgh"
"Vigo","Vigo"
"Reno","Reno"
"Riley","Riley"
"Calloway","Calloway"
"Catahoula","Catahoula"
"De Soto","De Soto"
"Rapides","Rapides"
"Tangipahoa","Tangipahoa"
"Chisago","Chisago"
"Fillmore","Fillmore"
"Humphreys","Humphreys"
"Lawrence","Lawrence"
"Marshall","Marshall"
"Rankin","Rankin"
"Tippah","Tippah"
"Dunklin","Dunklin"
"Kansas City","Kansas City"
"Buffalo","Buffalo"
"Nye","Nye"
"Cheshire","Cheshire"
"Doña Ana","Doña Ana"
"McKinley","McKinley"
"Niagara","Niagara"
"Oneida","Oneida"
"Carteret","Carteret"
"Pasquotank","Pasquotank"
"Pitt","Pitt"
"Rowan","Rowan"
"Stanly","Stanly"
"Ashtabula","Ashtabula"
"Columbiana","Columbiana"
"Garvin","Garvin"
"Centre","Centre"
"Potter","Potter"
"Aiken","Aiken"
"Berkeley","Berkeley"
"Clarendon","Clarendon"
"Darlington","Darlington"
"Florence","Florence"
"Orangeburg","Orangeburg"
"Blount","Blount"
"Dickson","Dickson"
"Hamblen","Hamblen"
"Maury","Maury"
"Tipton","Tipton"
"Fannin","Fannin"
"Hockley","Hockley"
"Upshur","Upshur"
"Addison","Addison"
"Rutland","Rutland"
"Accomack","Accomack"
"Newport News city","Newport News city"
"Norfolk city","Norfolk city"
"Portsmouth city","Portsmouth city"
"Cowlitz","Cowlitz"
"San Juan","San Juan"
"Stevens","Stevens"
"Kanawha","Kanawha"
"Chippewa","Chippewa"
"Dunn","Dunn"
"Green","Green"
"Marathon","Marathon"
"Rock","Rock"
"St. Croix","St. Croix"
"Natrona","Natrona"
"Apache","Apache"
"Cochise","Cochise"
"Butte","Butte"
"El Dorado","El Dorado"
"Siskiyou","Siskiyou"
"Yuba","Yuba"
"Chaffee","Chaffee"
"Elbert","Elbert"
"Hinsdale","Hinsdale"
"Montrose","Montrose"
"Highlands","Highlands"
"St. Lucie","St. Lucie"
"Lumpkin","Lumpkin"
"Elkhart","Elkhart"
"Story","Story"
"Spencer","Spencer"
"Avoyelles","Avoyelles"
"Beauregard","Beauregard"
"Bienville","Bienville"
"Claiborne","Claiborne"
"Evangeline","Evangeline"
"Ouachita","Ouachita"
"St. Mary","St. Mary"
"Sagadahoc","Sagadahoc"
"Caroline","Caroline"
"Nantucket","Nantucket"
"Allegan","Allegan"
"Barry","Barry"
"Berrien","Berrien"
"Clare","Clare"
"Saginaw","Saginaw"
"Tuscola","Tuscola"
"Wexford","Wexford"
"Dodge","Dodge"
"Steele","Steele"
"Wabasha","Wabasha"
"Attala","Attala"
"George","George"
"Grenada","Grenada"
"Itawamba","Itawamba"
"Leake","Leake"
"Panola","Panola"
"Simpson","Simpson"
"Tunica","Tunica"
"Bates","Bates"
"Jasper","Jasper"
"Cascade","Cascade"
"Ravalli","Ravalli"
"Strafford","Strafford"
"Lea","Lea"
"Steuben","Steuben"
"Buncombe","Buncombe"
"Catawba","Catawba"
"Clermont","Clermont"
"Defiance","Defiance"
"Licking","Licking"
"Josephine","Josephine"
"Montour","Montour"
"Dillon","Dillon"
"Edgefield","Edgefield"
"Greenwood","Greenwood"
"Marlboro","Marlboro"
"Newberry","Newberry"
"Cocke","Cocke"
"Roane","Roane"
"Bastrop","Bastrop"
"Castro","Castro"
"Deaf Smith","Deaf Smith"
"Oldham","Oldham"
"Albemarle","Albemarle"
"Botetourt","Botetourt"
"Isle of Wight","Isle of Wight"
"Suffolk city","Suffolk city"
"Carbon","Carbon"
"Bradford","Bradford"
"Flagler","Flagler"
"Barrow","Barrow"
"Butts","Butts"
"Chattooga","Chattooga"
"Clinch","Clinch"
"Coffee","Coffee"
"Tattnall","Tattnall"
"Twiggs","Twiggs"
"Valley","Valley"
"Champaign","Champaign"
"Jo Daviess","Jo Daviess"
"Rock Island","Rock Island"
"Stephenson","Stephenson"
"Ripley","Ripley"
"Cerro Gordo","Cerro Gordo"
"Kossuth","Kossuth"
"Poweshiek","Poweshiek"
"Sioux","Sioux"
"Tama","Tama"
"Woodbury","Woodbury"
"Mitchell","Mitchell"
"Breathitt","Breathitt"
"Hardin","Hardin"
"Jessamine","Jessamine"
"Acadia","Acadia"
"Cecil","Cecil"
"St. Mary's","St. Mary's"
"Emmet","Emmet"
"Gladwin","Gladwin"
"Grand Traverse","Grand Traverse"
"Roscommon","Roscommon"
"Le Sueur","Le Sueur"
"Chickasaw","Chickasaw"
"Oktibbeha","Oktibbeha"
"Pontotoc","Pontotoc"
"Sunflower","Sunflower"
