"provided","standard"
"McDonald","McDonald"
"Miller","Miller"
"Mississippi","Mississippi"
"Moniteau","Moniteau"
"Morgan","Morgan"
"New Madrid","New Madrid"
"Nodaway","Nodaway"
"Oregon","Oregon"
"Osage","Osage"
"Pettis","Pettis"
"Phelps","Phelps"
"Platte","Platte"
"Ralls","Ralls"
"Randolph","Randolph"
"Ray","Ray"
"Reynolds","Reynolds"
"Ripley","Ripley"
"Saline","Saline"
"Scotland","Scotland"
"Stoddard","Stoddard"
"Sullivan","Sullivan"
"Worth","Worth"
"Lewis","Lewis"
"Linn","Linn"
"St. Francois","St. Francois"
"Ste. Genevieve","Ste. Genevieve"
"Taney","Taney"
"Pemiscot","Pemiscot"
"Kansas City","Kansas City"
"St. Louis city","St. Louis city"
"Beaverhead","Beaverhead"
"Big Horn","Big Horn"
"Broadwater","Broadwater"
"Carbon","Carbon"
"Deer Lodge","Deer Lodge"
"Glacier","Glacier"
"Golden Valley","Golden Valley"
"Hill","Hill"
"Lewis and Clark","Lewis and Clark"
"Liberty","Liberty"
"Meagher","Meagher"
"Musselshell","Musselshell"
"Park","Park"
"Pondera","Pondera"
"Ravalli","Ravalli"
"Roosevelt","Roosevelt"
"Silver Bow","Silver Bow"
"Stillwater","Stillwater"
"Wheatland","Wheatland"
"Gallatin","Gallatin"
"Missoula","Missoula"
"Cascade","Cascade"
"Flathead","Flathead"
"Yellowstone","Yellowstone"
"Toole","Toole"
"Antelope","Antelope"
"Box Butte","Box Butte"
"Burt","Burt"
"Cherry","Cherry"
"Cheyenne","Cheyenne"
"Cuming","Cuming"
"Dawes","Dawes"
"Dixon","Dixon"
"Frontier","Frontier"
"Furnas","Furnas"
"Gosper","Gosper"
"Greeley","Greeley"
"Hitchcock","Hitchcock"
"Kearney","Kearney"
"Keith","Keith"
"Kimball","Kimball"
"Merrick","Merrick"
"Morrill","Morrill"
"Nance","Nance"
"Nemaha","Nemaha"
"Otoe","Otoe"
"Pierce","Pierce"
"Red Willow","Red Willow"
"Scotts Bluff","Scotts Bluff"
"Sherman","Sherman"
"Stanton","Stanton"
"Thomas","Thomas"
