"Date","location","ventilator_beds_occupied"
"4/6/2020","Scotland",28
"4/6/2020","Wales",42
"4/6/2020","Northern Ireland",7
"4/6/2020","UK",571
"5/6/2020","England",481
"5/6/2020","Scotland",23
"5/6/2020","Wales",44
"5/6/2020","Northern Ireland",8
"5/6/2020","UK",556
"6/6/2020","England",473
"6/6/2020","Scotland",20
"6/6/2020","Wales",41
"6/6/2020","Northern Ireland",8
"6/6/2020","UK",542
"7/6/2020","England",448
"7/6/2020","Scotland",25
"7/6/2020","Wales",38
"7/6/2020","Northern Ireland",5
"7/6/2020","UK",516
"8/6/2020","England",443
"8/6/2020","Scotland",24
"8/6/2020","Wales",38
"8/6/2020","Northern Ireland",8
"8/6/2020","UK",513
"9/6/2020","England",427
"9/6/2020","Scotland",21
"9/6/2020","Wales",40
"9/6/2020","Northern Ireland",4
"9/6/2020","UK",492
"10/6/2020","England",384
"10/6/2020","Scotland",18
"10/6/2020","Wales",32
"10/6/2020","Northern Ireland",6
"10/6/2020","UK",440
"11/6/2020","England",334
"11/6/2020","Scotland",21
"11/6/2020","Wales",29
"11/6/2020","Northern Ireland",8
"11/6/2020","UK",392
"12/6/2020","England",336
"12/6/2020","Scotland",23
"12/6/2020","Wales",29
"12/6/2020","Northern Ireland",7
"12/6/2020","UK",395
"13/6/2020","England",339
"13/6/2020","Scotland",20
"13/6/2020","Wales",27
"13/6/2020","Northern Ireland",6
"13/6/2020","UK",392
"14/6/2020","England",343
"14/6/2020","Scotland",15
"14/6/2020","Wales",31
"14/6/2020","Northern Ireland",4
"14/6/2020","UK",393
"15/6/2020","England",327
"15/6/2020","Scotland",18
"15/6/2020","Wales",36
"15/6/2020","Northern Ireland",4
"15/6/2020","UK",385
