"provided","standard"
"Saint Petersburg","Saint Petersburg"
"Samara","Samara"
"Saratov","Saratov"
"Sverdlovsk","Sverdlovsk"
"Tambov","Tambov"
"Tatarstan","Tatarstan"
"Tomsk","Tomsk"
"Tula","Tula"
"Tver","Tver"
"Tyumen","Tyumen"
"Ulyanovsk","Ulyanovsk"
"Voronezh","Voronezh"
"Yakutia","Yakutia"
"Yaroslavl","Yaroslavl"
"Zabaykalsky","Zabaykalsky"
"Neuchâtel","Neuchâtel"
"Schwyz","Schwyz"
"Dnipropetrovsk","Dnipropetrovsk"
"Donetsk","Donetsk"
"Ivano-Frankivsk","Ivano-Frankivsk"
"Kiev region","Kiev region"
"West Fjords","West Fjords"
"Chelyabinsk","Chelyabinsk"
"Kurgan","Kurgan"
"Korçë","Korçë"
"Blagoevgrad","Blagoevgrad"
"Burgas","Burgas"
"Dobrich","Dobrich"
"Gabrovo","Gabrovo"
"Lovech","Lovech"
"Montana","Montana"
"Pazardzhik","Pazardzhik"
"Pernik","Pernik"
"Pleven","Pleven"
"Plovdiv","Plovdiv"
"Shumen","Shumen"
"Smolyan","Smolyan"
"Sofia City","Sofia City"
"Stara Zagora","Stara Zagora"
"Varna","Varna"
"Veliko Tarnovo","Veliko Tarnovo"
"Greenland","Greenland"
"West Iceland","West Iceland"
"Dolnośląskie","Dolnośląskie"
"Kujawsko-pomorskie","Kujawsko-pomorskie"
"Łódzkie","Łódzkie"
"Lubelskie","Lubelskie"
"Lubuskie","Lubuskie"
"Małopolskie","Małopolskie"
"Mazowieckie","Mazowieckie"
"Opolskie","Opolskie"
"Podkarpackie","Podkarpackie"
"Podlaskie","Podlaskie"
"Pomorskie","Pomorskie"
"Śląskie","Śląskie"
"Świętokrzyskie","Świętokrzyskie"
"Warmińsko-mazurskie","Warmińsko-mazurskie"
"Wielkopolskie","Wielkopolskie"
"Zachodniopomorskie","Zachodniopomorskie"
"Kabardino-Balkaria","Kabardino-Balkaria"
"Republic of Crimea","Republic of Crimea"
"Stavropol","Stavropol"
"Udmurtia","Udmurtia"
"Lviv","Lviv"
"Ternopil","Ternopil"
"Durrës","Durrës"
"Shkodër","Shkodër"
"Vlorë","Vlorë"
"Bjelovarsko-bilogorska","Bjelovarsko-bilogorska"
"Ličko-senjska","Ličko-senjska"
"Arkadias","Arkadias"
"Prevezas","Prevezas"
"Trikalon","Trikalon"
"Abroad","Abroad"
"Bryansk","Bryansk"
"Novgorod","Novgorod"
"Cherkasy","Cherkasy"
"Berat","Berat"
"Kukës","Kukës"
"Lezhë","Lezhë"
"Kyustendil","Kyustendil"
"Međimurska","Međimurska"
"East Iceland","East Iceland"
"Krapinsko-zagorska županija","Krapinsko-zagorska županija"
"Vukovarsko-srijemska","Vukovarsko-srijemska"
"Lefkadas","Lefkadas"
"Bashkortostan","Bashkortostan"
"Buryatia","Buryatia"
"Chechnya","Chechnya"
"Oryol","Oryol"
"Primorsky","Primorsky"
"Pskov","Pskov"
"Rostov","Rostov"
"Volgograd","Volgograd"
"Lugansk","Lugansk"
"Odessa","Odessa"
"Volyn","Volyn"
"Zaporizhzhia","Zaporizhzhia"
"Haskovo","Haskovo"
"Kardzhali","Kardzhali"
"Sliven","Sliven"
"Ahvenanmaa","Ahvenanmaa"
"Itä-Savo","Itä-Savo"
"Kainuu","Kainuu"
"Kymenlaakso","Kymenlaakso"
"Argolis","Argolis"
"Florina","Florina"
"Lasithi","Lasithi"
"North Macedonia","North Macedonia"
"Kherson","Kherson"
"Vinnytsia","Vinnytsia"
"Drama","Drama"
"Rethymnon","Rethymnon"
"Rivne","Rivne"
"Transcarpathian","Transcarpathian"
"Beozia","Beozia"
"Ikaria","Ikaria"
"Kefalonia","Kefalonia"
"Khalkidiki","Khalkidiki"
"Adygea","Adygea"
"Amur","Amur"
"Dagestan","Dagestan"
"Irkutsk","Irkutsk"
"Kostroma","Kostroma"
"Mordovia","Mordovia"
"Omsk","Omsk"
"Sakhalin","Sakhalin"
"Smolensk","Smolensk"
"Chernihiv","Chernihiv"
"Kharkiv","Kharkiv"
"Khmelnytsky","Khmelnytsky"
"Mykolaiv","Mykolaiv"
"Poltava","Poltava"
"Sumy","Sumy"
"Corfu","Corfu"
"Corinth","Corinth"
"Pella","Pella"
"Kirovograd","Kirovograd"
"Athos","Athos"
"Altai","Altai"
"Kalmykia","Kalmykia"
"Mari El","Mari El"
"Vladimir","Vladimir"
"Vologda","Vologda"
"Gorenjske","Gorenjske"
"Goriške","Goriške"
"Jugovzhodne","Jugovzhodne"
"Koroške","Koroške"
"Obalno-kraške","Obalno-kraške"
"Osrednjeslovenske","Osrednjeslovenske"
"Podravske","Podravske"
"Pomurske","Pomurske"
"Posavske","Posavske"
"Primorsko-notranjske","Primorsko-notranjske"
"Savinjske","Savinjske"
"Zasavske","Zasavske"
"Silistra","Silistra"
"Požeško-slavonska","Požeško-slavonska"
"Virovitičko-podravska","Virovitičko-podravska"
"Khios","Khios"
"Outside mainland Norway","Outside mainland Norway"
"Astrakhan","Astrakhan"
"Magadan","Magadan"
"Ruse","Ruse"
"Chania","Chania"
"Bács-Kiskun","Bács-Kiskun"
"Baranya","Baranya"
"Békés","Békés"
"Borsod-Abaúj-Zemplén","Borsod-Abaúj-Zemplén"
"Budapest","Budapest"
"Csongrád","Csongrád"
"Fejér","Fejér"
"Győr-Moson-Sopron","Győr-Moson-Sopron"
"Hajdú-Bihar","Hajdú-Bihar"
"Heves","Heves"
"Jász-Nagykun-Szolnok","Jász-Nagykun-Szolnok"
"Komárom-Esztergom","Komárom-Esztergom"
"Nógrád","Nógrád"
"Pest","Pest"
"Somogy","Somogy"
"Szabolcs-Szatmár-Bereg","Szabolcs-Szatmár-Bereg"
"Tolna","Tolna"
"Vas","Vas"
"Veszprém","Veszprém"
"Zala","Zala"
"Kursk","Kursk"
"North Ossetia-Alania","North Ossetia-Alania"
"Vidin","Vidin"
"Cyclades","Cyclades"
"Alba","Alba"
"Arad","Arad"
"Argeș","Argeș"
"Bacău","Bacău"
"Bihor","Bihor"
"Bistrița-Năsăud","Bistrița-Năsăud"
"Botoșani","Botoșani"
"Brăila","Brăila"
"Brașov","Brașov"
"București","București"
"Buzău","Buzău"
"Călărași","Călărași"
"Caraș-Severin","Caraș-Severin"
"Cluj","Cluj"
"Costanza","Costanza"
"Covasna","Covasna"
"Dâmbovița","Dâmbovița"
"Dolj","Dolj"
"Galați","Galați"
"Giurgiu","Giurgiu"
"Gorj","Gorj"
"Harghita","Harghita"
"Hunedoara","Hunedoara"
"Iași","Iași"
"Ialomița","Ialomița"
"Ilfov","Ilfov"
"Maramureș","Maramureș"
"Mehedinți","Mehedinți"
"Mureș","Mureș"
"Neamț","Neamț"
"Olt","Olt"
"Prahova","Prahova"
"Sălaj","Sălaj"
"Satu Mare","Satu Mare"
"Sibiu","Sibiu"
"Suceava","Suceava"
"Teleorman","Teleorman"
"Timiș","Timiș"
"Tulcea","Tulcea"
"Vâlcea","Vâlcea"
"Vaslui","Vaslui"
"Vrancea","Vrancea"
"Yamalo-Nenets AO","Yamalo-Nenets AO"
"Podravske,","Podravske,"
"Eileanan Siar (Western Isles)","Eileanan Siar (Western Isles)"
"Orkney","Orkney"
"Fthiotis","Fthiotis"
"Ingushetia","Ingushetia"
"Jewish AO","Jewish AO"
"Kamchatka","Kamchatka"
"Republic of Karelia","Republic of Karelia"
"Grevenon","Grevenon"
"Vratsa","Vratsa"
"Rodopi","Rodopi"
"Obalno-kraške,","Obalno-kraške,"
"Karachay-Cherkessia","Karachay-Cherkessia"
"Tuva","Tuva"
"Aitolia and Akarnania","Aitolia and Akarnania"
"Chukotka","Chukotka"
"Nenets","Nenets"
"Altai Republic","Altai Republic"
"Yambol","Yambol"
"Dibër","Dibër"
